,Tag No.,Tagged State,Tagged Date,Reported State,Reported Country,Reported Date,Miles
272,AGA833,MN,2001-08-17,MICH,MEXICO,2002-03-03,1783.0
273,ADD529,MN,2001-08-13,MICH,MEXICO,2002-03-03,1783.0
274,AGA067,MN,2001-08-13,MICH,MEXICO,2002-03-03,1783.0
275,ADD151,MN,2001-08-12,MICH,MEXICO,2002-03-03,1783.0
276,ADI936,MN,2001-09-08,MICH,MEXICO,2002-01-06,1781.0
277,ADF911,MN,2001-08-25,MICH,MEXICO,2002-02-28,1779.0
278,ADF833,MN,2001-08-25,MICH,MEXICO,2002-02-21,1779.0
279,ADE895,MN,2001-08-25,MICH,MEXICO,2002-03-09,1779.0
280,ADF942,MN,2001-08-25,MICH,MEXICO,2002-03-09,1779.0
281,ADE838,MN,2001-08-25,MICH,MEXICO,2002-03-09,1779.0
282,ADE949,MN,2001-08-21,MICH,MEXICO,2002-02-26,1778.0
283,AGI194,WI,2001-09-04,MICH,MEXICO,2002-02-13,1778.0
284,ACW212,WI,2001-09-13,MICH,MEXICO,2002-02-18,1778.0
285,AGJ688,MN,2001-08-30,MICH,MEXICO,2002-03-03,1778.0
286,ADY685,SD,2001-09-11,MICH,MEXICO,2002-02-27,1776.0
287,ACX109,WI,2001-08-30,MICH,MEXICO,2002-03-03,1773.0
288,AGC746,MN,2001-09-05,MICH,MEXICO,2002-02-21,1773.0
289,AGC758,MN,2001-09-05,MICH,MEXICO,2002-02-27,1769.0
290,ADD605,MN,,MICH,MEXICO,2002-01-20,1768.0
291,ADD441,MN,2001-08-13,MICH,MEXICO,2002-02-26,1768.0
292,ADD501,MN,2001-08-13,MICH,MEXICO,2002-02-26,1768.0
293,ADD703,MN,2001-08-13,MICH,MEXICO,2002-02-16,1768.0
294,ADD688,MN,2001-08-13,MICH,MEXICO,2002-02-13,1768.0
295,ADD321,MN,2001-08-13,MICH,MEXICO,2002-02-13,1768.0
296,ADD540,MN,2001-08-13,MICH,MEXICO,2002-01-24,1768.0
297,ADD549,MN,2001-08-13,MICH,MEXICO,2002-01-21,1768.0
298,ADD120,MN,2001-08-12,MICH,MEXICO,2002-02-26,1768.0
299,ADD170,MN,2001-08-12,MICH,MEXICO,2002-02-21,1768.0
300,ADD040,MN,2001-08-11,MICH,MEXICO,2002-02-26,1768.0
301,ADC911,MN,2001-08-11,MICH,MEXICO,2002-01-20,1768.0
302,ADC876,MN,2001-08-10,MICH,MEXICO,2002-01-20,1768.0
303,AGC493,MN,2001-09-03,MICH,MEXICO,2002-03-12,1768.0
304,AGE017,MN,2001-09-03,MICH,MEXICO,2002-02-27,1768.0
305,AGC190,MN,2001-08-28,MICH,MEXICO,2002-03-09,1768.0
306,AGC263,MN,2001-08-28,MICH,MEXICO,2002-03-04,1768.0
307,AGB723,MN,2001-08-19,MICH,MEXICO,2002-03-12,1768.0
308,AGD379,MN,2001-08-19,MICH,MEXICO,2002-03-12,1768.0
309,AGB633,MN,2001-08-19,MICH,MEXICO,2002-03-09,1768.0
310,AGB942,MN,2001-08-19,MICH,MEXICO,2002-03-08,1768.0
311,AGD620,MN,2001-08-19,MICH,MEXICO,2002-03-08,1768.0
312,AGB502,MN,2001-08-19,MICH,MEXICO,2002-03-06,1768.0
313,AGD054,MN,2001-08-19,MICH,MEXICO,2002-03-04,1768.0
314,AGD434,MN,2001-08-19,MICH,MEXICO,2002-03-04,1768.0
315,AGD435,MN,2001-08-19,MICH,MEXICO,2002-03-04,1768.0
316,AGD848,MN,2001-08-19,MICH,MEXICO,2002-03-04,1768.0
317,AGB645,MN,2001-08-19,MICH,MEXICO,2002-03-04,1768.0
318,AGB377,MN,2001-08-19,MICH,MEXICO,2002-03-01,1768.0
319,AGB420,MN,2001-08-19,MICH,MEXICO,2002-02-28,1768.0
320,AGB447,MN,2001-08-19,MICH,MEXICO,2002-02-26,1768.0
321,AGD241,MN,2001-08-19,MICH,MEXICO,2002-02-26,1768.0
322,AGD913,MN,2001-08-19,MICH,MEXICO,2002-02-21,1768.0
323,AGB913,MN,2001-08-19,MICH,MEXICO,2002-02-21,1768.0
324,AGB526,MN,2001-08-19,MICH,MEXICO,2002-02-21,1768.0
325,AGB690,MN,2001-08-19,MICH,MEXICO,2002-02-21,1768.0
326,AGD292,MN,2001-08-19,MICH,MEXICO,2002-02-20,1768.0
327,AGB743,MN,2001-08-19,MICH,MEXICO,2002-02-18,1768.0
328,AGB465,MN,2001-08-19,MICH,MEXICO,2002-02-16,1768.0
329,AGB446,MN,2001-08-19,MICH,MEXICO,2002-02-13,1768.0
330,AGB455,MN,2001-08-19,MICH,MEXICO,2002-01-20,1768.0
331,AGB793,MN,2001-08-19,MICH,MEXICO,2002-01-20,1768.0
332,AGB901,MN,2001-08-19,MICH,MEXICO,2002-01-20,1768.0
333,AGD364,MN,2001-08-19,MICH,MEXICO,2002-01-11,1768.0
334,AGB042,MN,2001-08-17,MICH,MEXICO,2002-03-13,1768.0
335,AGB871,MN,2001-08-17,MICH,MEXICO,2002-03-12,1768.0
336,AGA977,MN,2001-08-17,MICH,MEXICO,2002-03-12,1768.0
337,AGA654,MN,2001-08-17,MICH,MEXICO,2002-03-12,1768.0
338,AGA917,MN,2001-08-17,MICH,MEXICO,2002-03-09,1768.0
339,AGB242,MN,2001-08-17,MICH,MEXICO,2002-03-08,1768.0
340,AGB181,MN,2001-08-17,MICH,MEXICO,2002-03-07,1768.0
341,AGB144,MN,2001-08-17,MICH,MEXICO,2002-03-01,1768.0
342,AGA948,MN,2001-08-17,MICH,MEXICO,2002-02-27,1768.0
343,AGB352,MN,2001-08-17,MICH,MEXICO,2002-02-27,1768.0
344,AGA865,MN,2001-08-17,MICH,MEXICO,2002-02-27,1768.0
345,AGB052,MN,2001-08-17,MICH,MEXICO,2002-02-26,1768.0
346,AGA811,MN,2001-08-17,MICH,MEXICO,2002-02-26,1768.0
347,AGA918,MN,2001-08-17,MICH,MEXICO,2002-02-26,1768.0
348,AGA989,MN,2001-08-17,MICH,MEXICO,2002-02-21,1768.0
349,AGB235,MN,2001-08-17,MICH,MEXICO,2002-02-21,1768.0
350,AGA978,MN,2001-08-17,MICH,MEXICO,2002-02-21,1768.0
351,AGA702,MN,2001-08-17,MICH,MEXICO,2002-02-20,1768.0
352,AGA676,MN,2001-08-17,MICH,MEXICO,2002-02-20,1768.0
